Date,Open,High,Low,Close,Adj Close,Volume
2010-12-03,161.309998,162.5,160.949997,162.309998,141.761078,4658000
2010-12-06,161.660004,163.190002,161.490005,162.649994,142.058014,3686300
2010-12-07,164.520004,164.770004,161.440002,161.589996,141.132217,5527700
2010-12-08,161.960007,166.139999,161.889999,166.139999,145.106216,5259500
2010-12-09,167,167.75,165.75,166.449997,145.376968,5746400
2010-12-10,166.410004,168.470001,165.899994,168.470001,147.141235,4543600
2010-12-13,168.25,170.919998,167.899994,169.479996,148.023331,5325200
2010-12-14,169.669998,169.990005,166.839996,167.330002,146.145538,4892700
2010-12-15,166.639999,167.289993,165.110001,165.210007,144.293961,4358100
2010-12-16,165.690002,165.910004,163.210007,164.460007,143.638931,4164400
2010-12-17,163.919998,165,163.119995,164.039993,143.272095,5343000
2010-12-20,163.740005,166.899994,163.649994,166.050003,145.027603,3719100
2010-12-21,166.539993,168.880005,166.5,168.229996,146.93158,4546900
2010-12-22,168.669998,169.679993,167.899994,169.600006,148.128174,3858500
2010-12-23,169.100006,169.699997,167.169998,167.600006,146.381409,2494000
2010-12-27,166.789993,170,166.410004,169.830002,148.329025,2715000
2010-12-28,170,171.229996,168.830002,169.190002,147.77005,2862900
2010-12-29,169.399994,169.779999,166.570007,167.630005,146.407547,3329800
2010-12-30,168.089996,168.25,166.990005,167.639999,146.416245,1745400
2010-12-31,167.580002,168.800003,167.009995,168.160004,146.870438,1636300
2011-01-03,170.550003,173.25,169.850006,173.050003,151.141418,5717100
2011-01-04,173.869995,174,172,173.080002,151.167618,3335500
2011-01-05,172.050003,174.490005,172,174,151.9711,4140600
2011-01-06,174.509995,174.589996,171.979996,172.210007,150.407776,5375200
2011-01-07,172.699997,172.889999,169.360001,170.690002,149.080154,4916100
2011-01-10,170,171.289993,169.199997,169.759995,148.267914,3650300
2011-01-11,170.5,171.429993,168.320007,169.360001,147.918503,4572300
2011-01-12,169.389999,172.309998,169.179993,171.669998,149.936111,5592900
2011-01-13,172.039993,172.600006,171,171.570007,149.84877,3183800
2011-01-14,171.190002,175,171.190002,175,152.844513,5885100
2011-01-18,174.75,175.339996,173.050003,174.679993,152.565002,4981200
2011-01-19,169.460007,171.490005,165.860001,166.490005,145.411865,13372700
2011-01-20,166.550003,167.059998,164.009995,165.690002,144.713196,8914900
2011-01-21,165.880005,169.199997,165.119995,166.199997,145.15863,5876500
2011-01-24,165.990005,167.070007,165.75,166.300003,145.245941,4624300
2011-01-25,163.050003,164.789993,160.119995,161.979996,141.47287,11259800
2011-01-26,161.699997,162.839996,161.039993,161.309998,140.887726,6738000
2011-01-27,161.130005,164.25,161.110001,164.029999,143.26329,6036000
2011-01-28,164.160004,165.089996,161.419998,161.770004,141.289429,4570000
2011-01-31,161.380005,163.720001,161.229996,163.619995,142.905228,3792800
2011-02-01,163.860001,166.25,163.610001,165.330002,144.398727,4138400
2011-02-02,165.149994,166.639999,164.199997,165.050003,144.15419,2986200
2011-02-03,164.990005,164.990005,161.839996,164.639999,143.796097,4710400
2011-02-04,164.880005,164.979996,162.759995,164.830002,143.962082,3354500
